PTM#,Final determination,genetic match/notes,Determination in the field,Qualifier,DNA location,Extra DNA Sample,Date of Extraction,PCR results,CO1,psbA,rbcL,Voucher location,BOLDNumber,GenbankNumber,Red/Coralline/Green/Brown,Country,StateProvince,Locality,Date Collected,Reproductive Status,Field Notes,Accession #,Missing accession,Habitat,Depth,Fragments available?,Latitude,Longitude,Primary Collector,Other collectors,Determined by,Determination Date,Project
427,,CO1 messy; no other gene attempted,Colpomenia peregrina,,None,Yes,2015-05-21,,F,,,Herbarium,,,Brown,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,"with Ulvaria, no genetic sample left in vial, ground material reached half 0.1 mark, very faint band after 1:40 dilution",A89748,,"subtidal, 8m, Large Boulders",8m,,,,,,,,
428,Fryeella gardneri,Fryeella gardneri,Fryeella gardneri,,None,,,,,,,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,,,Y,"subtidal, 8m, Large Boulders",8m,,,,,,,,
429,,Was listed as extracted (31x14) no sequence records - PCR fail?,Scinaia confusa,,None,,,,,,,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,on shell,,Y,"subtidal, 8m, Large Boulders",8m,,,,,,,,
430,Scinaia confusa,sequence 100% match in BOLD,Scinaia confusa,,Martonelab,,2015-05-06,,,,FR,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,"on rock, PCR worked after 1:10 dilution",,Y,"subtidal, 8m, Large Boulders",8m,,,,,,,,
431,,No DNA sample taken at Hakai,Costaria costata,,None,,,,,,,Herbarium,,,Brown,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,No DNA sample taken at Hakai,A89752,,"subtidal, 8m, Large Boulders",8m,,,,,,,,
432,Dictyota binghamiae,sequence 100% match in BOLD,Dictyota binghamiae,,None,Yes,2015-05-21,,,,,Herbarium,,,Brown,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,"very abudant, ground material reached half 0.1 mark, some ground material left in vial",A89753,,"subtidal, 8m, Large Boulders",8m,,,,,,,,
433,Schizymenia pacifica,sequence 100% match in BOLD,Schizymenia pacifica,,Martonelab,Yes,2015-05-06,,,,FR,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,,,Y,"subtidal, 8m, Large Boulders",8m,,,,,,,,
434,,PCR fail,Demarestia viridis,,Martonelab,Yes,2015-05-21,,,,,Herbarium,,,Brown,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,"ground material reached half 0.1 mark, some ground material left in vial; check Jimmy's notebook for nanodrop results; PCR failed full strength & after 1:80 dilution",A89755,,"subtidal, 8m, Large Boulders",8m,,,,,,,,
435,,CO1 messy; rbcL had a positive PCR but not sequenced (?),Pterosiphonia dendroidea,,Martonelab,,2015-05-06,,,,,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,genetic sample used up during extraction,,Y,"subtidal, 8m, Large Boulders",8m,,,,,,,,
436,,No DNA sample taken at Hakai,Cymathaere triplicata,,None,,,,,,,Herbarium,,,Brown,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,No DNA sample was taken,A89757,,"subtidal, 8m, Large Boulders",8m,,,,,,,,
